"houseName","houseAddress","ListPrice","LastPrice","landSize","propertySize","SoldDate","priceChange","isBalconyAvailable"
"Ärlestigen 14","Ärlestigen 14 RadhusRadhus Mjälga, Borlänge kommun","","82 + 52 m² 3 rum Slutpris 2 874 000 kr","607 m² tomt","82 + 52 m² 3 rum","Såld 27 mars 2022","+20 %",""
"houseName","houseAddress","ListPrice","LastPrice","landSize","propertySize","SoldDate","priceChange","isBalconyAvailable"
"Ärlestigen 14","Ärlestigen 14 RadhusRadhus Mjälga, Borlänge kommun","","82 + 52 m² 3 rum Slutpris 2 874 000 kr","607 m² tomt","82 + 52 m² 3 rum","Såld 27 mars 2022","+20 %",""
"Stånggatan 13","Stånggatan 13 RadhusRadhus Nygårdsdalen, Borlänge kommun","","96 m² 4 rum Slutpris 2 295 000 kr","403 m² tomt","96 m² 4 rum","Såld 23 mars 2022","+5 %",""
"houseName","houseAddress","ListPrice","LastPrice","landSize","propertySize","SoldDate","priceChange","isBalconyAvailable"
"Ärlestigen 14","Ärlestigen 14 RadhusRadhus Mjälga, Borlänge kommun","","82 + 52 m² 3 rum Slutpris 2 874 000 kr","607 m² tomt","82 + 52 m² 3 rum","Såld 27 mars 2022","+20 %",""
"Stånggatan 13","Stånggatan 13 RadhusRadhus Nygårdsdalen, Borlänge kommun","","96 m² 4 rum Slutpris 2 295 000 kr","403 m² tomt","96 m² 4 rum","Såld 23 mars 2022","+5 %",""
"Råbocksgatan 17","Råbocksgatan 17 RadhusRadhus Övre Tjärna, Borlänge kommun","6 326 kr/mån","86 m² 4 rum Slutpris 1 680 000 kr","","86 m² 4 rum","Såld 22 mars 2022","+41 %",""
"houseName","houseAddress","ListPrice","LastPrice","landSize","propertySize","SoldDate","priceChange","isBalconyAvailable"
"Ärlestigen 14","Ärlestigen 14 RadhusRadhus Mjälga, Borlänge kommun","","82 + 52 m² 3 rum Slutpris 2 874 000 kr","607 m² tomt","82 + 52 m² 3 rum","Såld 27 mars 2022","+20 %",""
"Stånggatan 13","Stånggatan 13 RadhusRadhus Nygårdsdalen, Borlänge kommun","","96 m² 4 rum Slutpris 2 295 000 kr","403 m² tomt","96 m² 4 rum","Såld 23 mars 2022","+5 %",""
"Råbocksgatan 17","Råbocksgatan 17 RadhusRadhus Övre Tjärna, Borlänge kommun","6 326 kr/mån","86 m² 4 rum Slutpris 1 680 000 kr","","86 m² 4 rum","Såld 22 mars 2022","+41 %",""
"Brokroken 3A","Brokroken 3A RadhusRadhus Bro, Borlänge kommun","5 830 kr/mån","109 m² 4 rum Slutpris 2 300 000 kr","","109 m² 4 rum","Såld 21 mars 2022","+21 %",""
"houseName","houseAddress","ListPrice","LastPrice","landSize","propertySize","SoldDate","priceChange","isBalconyAvailable"
"Ärlestigen 14","Ärlestigen 14 RadhusRadhus Mjälga, Borlänge kommun","","82 + 52 m² 3 rum Slutpris 2 874 000 kr","607 m² tomt","82 + 52 m² 3 rum","Såld 27 mars 2022","+20 %",""
"Stånggatan 13","Stånggatan 13 RadhusRadhus Nygårdsdalen, Borlänge kommun","","96 m² 4 rum Slutpris 2 295 000 kr","403 m² tomt","96 m² 4 rum","Såld 23 mars 2022","+5 %",""
"Råbocksgatan 17","Råbocksgatan 17 RadhusRadhus Övre Tjärna, Borlänge kommun","6 326 kr/mån","86 m² 4 rum Slutpris 1 680 000 kr","","86 m² 4 rum","Såld 22 mars 2022","+41 %",""
"Brokroken 3A","Brokroken 3A RadhusRadhus Bro, Borlänge kommun","5 830 kr/mån","109 m² 4 rum Slutpris 2 300 000 kr","","109 m² 4 rum","Såld 21 mars 2022","+21 %",""
"Vågmästarvägen 27","Vågmästarvägen 27 RadhusRadhus Forssa, Borlänge kommun","","117 + 50 m² 6 rum Slutpris 3 200 000 kr","341 m² tomt","117 + 50 m² 6 rum","Såld 15 mars 2022","+11 %",""
"houseName","houseAddress","ListPrice","LastPrice","landSize","propertySize","SoldDate","priceChange","isBalconyAvailable"
"Ärlestigen 14","Ärlestigen 14 RadhusRadhus Mjälga, Borlänge kommun","","82 + 52 m² 3 rum Slutpris 2 874 000 kr","607 m² tomt","82 + 52 m² 3 rum","Såld 27 mars 2022","+20 %",""
"Stånggatan 13","Stånggatan 13 RadhusRadhus Nygårdsdalen, Borlänge kommun","","96 m² 4 rum Slutpris 2 295 000 kr","403 m² tomt","96 m² 4 rum","Såld 23 mars 2022","+5 %",""
"Råbocksgatan 17","Råbocksgatan 17 RadhusRadhus Övre Tjärna, Borlänge kommun","6 326 kr/mån","86 m² 4 rum Slutpris 1 680 000 kr","","86 m² 4 rum","Såld 22 mars 2022","+41 %",""
"Brokroken 3A","Brokroken 3A RadhusRadhus Bro, Borlänge kommun","5 830 kr/mån","109 m² 4 rum Slutpris 2 300 000 kr","","109 m² 4 rum","Såld 21 mars 2022","+21 %",""
"Vågmästarvägen 27","Vågmästarvägen 27 RadhusRadhus Forssa, Borlänge kommun","","117 + 50 m² 6 rum Slutpris 3 200 000 kr","341 m² tomt","117 + 50 m² 6 rum","Såld 15 mars 2022","+11 %",""
"August Brodins Gata 16","August Brodins Gata 16 RadhusRadhus Forssa, Borlänge kommun","7 272 kr/mån","104 m² 4 rum Slutpris 1 600 000 kr","","104 m² 4 rum","Såld 4 februari 2022","+12 %",""
